30/07/14 17:06
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	   101618	 1009341	                  5174448	                         6048719	   173	
Pendientes:       	    61925	  720023	                  3695340	                         4317528	   134	
Únicos:           	    80238	  926826	                  4738644	                         5547531	   173	
Pendientes únicos:	    56183	  675129	                  3461544	                         4046797	   133	


Estadísticas por archivo individual:

Nombre de archivo  	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
perlintern.pod     	           1052	                 998	             853	                        853	             7019	               6948	           6057	                      6057	                             41816	                               41502	                           37035	                                      37035	                                    46262	                                      45916	                                  40811	                                             40811	
perlinterp.pod     	            408	                 224	             362	                        219	             5258	               4290	           5154	                      4283	                             24511	                               19738	                           23910	                                      19682	                                    29163	                                      23299	                                  28481	                                             23239	
perlintro.pod      	            422	                  30	             360	                         29	             3408	                134	           3333	                       134	                             17292	                                 740	                           16824	                                        736	                                    20777	                                        980	                                  20262	                                               976	
perliol.pod        	            563	                 354	             495	                        349	             5418	               4804	           5273	                      4782	                             27602	                               23760	                           26800	                                      23626	                                    32287	                                      27959	                                  31393	                                             27799	
perlipc.pod        	           1189	                1012	             926	                        923	            10399	              10207	           9864	                      9854	                             54667	                               53618	                           51504	                                      51457	                                    64558	                                      63408	                                  60851	                                             60800	
perllexwarn.pod    	              6	                   0	               4	                          0	               53	                  0	             49	                         0	                               301	                                   0	                             274	                                          0	                                      343	                                          0	                                    314	                                                 0	
perllocale.pod     	            739	                 226	             629	                        216	             9998	               3893	           9724	                      3821	                             52046	                               20189	                           50563	                                      19805	                                    60107	                                      23195	                                  58436	                                             22749	
perllol.pod        	            276	                   0	             188	                          0	             1802	                  0	           1648	                         0	                              8539	                                   0	                            7670	                                          0	                                    10216	                                          0	                                   9172	                                                 0	
perlmod.pod        	            330	                   7	             302	                          7	             4054	                 94	           4023	                        94	                             20067	                                 474	                           19882	                                        474	                                    23553	                                        551	                                  23354	                                               551	
perlmodinstall.pod 	            229	                   0	             157	                          0	             2056	                  0	           1920	                         0	                             10571	                                   0	                            9875	                                          0	                                    12127	                                          0	                                  11360	                                                 0	
perlmodlib.pod     	           2009	                1289	            1764	                       1272	            10357	               8093	           9751	                      8020	                             62865	                               45775	                           59443	                                      45351	                                    69176	                                      51449	                                  65377	                                             50971	
perlmodstyle.pod   	            375	                   0	             274	                          0	             3404	                  0	           3276	                         0	                             17823	                                   0	                           17127	                                          0	                                    20694	                                          0	                                  19910	                                                 0	
perlmroapi.pod     	             53	                   0	              41	                          0	              509	                  0	            450	                         0	                              2647	                                   0	                            2332	                                          0	                                     3052	                                          0	                                   2691	                                                 0	
perlnewmod.pod     	            127	                   0	             116	                          0	             1936	                  0	           1914	                         0	                              9407	                                   0	                            9303	                                          0	                                    10971	                                          0	                                  10856	                                                 0	
